,busy_type,code_professional_sphere,position_requirements,position_responsibilities,regionName,salary,schedule_type,vacancy_address,vacancy_name
0,Полная занятость,NotQualification,<p>Образование: среднее общее (9 классов)</p> <p>Ответственность</p>,Проводит ежедневную и генеральную уборку и дезинфекцию в помещениях местах общего пользования  объекта почтовой связи,Пермский край,от 18300,Полный рабочий день,"Пермский край, Город Пермь, Ленина улица, 89",Уборщик производственных и служебных помещений
1,Полная занятость,Forest,<p>1. Пунктуальность</p> <p>2. Ответственность</p> <p>3. Отсутствие вредных привычек</p>,<p>1. Распиловка балансов и хвойных пород</p> <p>2. Уборка места работы в конце дня</p> <p>3. Отчет о сделанной работе</p>,Кировская область,от 35000,Полный рабочий день,Кировская область,Оператор лесопильных линий
2,Полная занятость,Sales,<p>Ответственность</p>,<p>Должностные обязанности согласно должностной инструкции</p>,Омская область,от 18679,Сменный график,"Омская область, Русско-Полянский район, Русская Поляна рабочий поселок, Ленина улица, 41",Контролер
3,Полная занятость,Transport,"<ul> <li>Средне-специальное образование;</li> <li>Опыт управления вилочным электропогрузчиком &ndash; от 1 года;</li> <li>Наличие водительского удостоверения на право управления транспортным средством соответствующей категории или подкатегории;</li> <li>Знание основных устройств и механизмов электропогрузчика, правила эксплуатации техники и нормы проведения элементарного обслуживания или устранения неисправностей;</li> <li>Умение работать с ПК;</li> <li>Пунктуальность, внимательность, ответственность.</li> </ul>","<ul> <li>Управление погрузо-разгрузочной техникой, обеспечение бесперебойной работы и сохранности продукции при погрузочно-разгрузочных работах;</li> <li>Погрузка и выгрузка всех видов почтовых отправлений, в том числе: крупногабаритных почтовых отправлений, контейнеров и емкостей с почтовыми отправлениями, газетных пачек и иных товарно-материальных ценностей, принятых к пересылке с помощью электропогрузчика;</li> <li>Осуществлять контроль постановки электропогрузчиков и электротягачей на зарядку аккумуляторных батарей в определенные часы суток, в зависимости от дня недели или праздничного дня;</li> <li>Осуществлять их мелкий ремонт (основное: замена колес или восстановление колесных камер</li> </ul>",Хабаровский край,от 43400,Сменный график,"Хабаровский край, Город Хабаровск, Ленинградская улица, 62А",водитель вилочного погрузчика
4,Полная занятость,Industry,<p>Без предъявления требований к образованию и опыту работы</p>,<p>Литье алюминиевых заготовок</p>,Самарская область,от 30000,Сменный график,"Самарская область, Город Тольятти, Северная улица,  18 стр 22",Литейщик металлов и сплавов
5,Полная занятость,ElectricpowerIndustry,<p>&nbsp;высшее техническое образование</p>,"<p>&nbsp;Подготовка предложений и участие в формировании, согласовании и контроле исполнения утвержденных годовых специализированных планов и программ. Осуществление проверок документации по плану ввода в действие производственных мощностей, объектов строительства и методологическое сопровождение. Участие в разработке Плана мероприятий по аудиту на год в соответствии с годовыми специализированными планами и программами. Осуществление экспертной оценки, верификации полученных от структурных подразделений инициирующих материалов по инвестиционным инициативам. Осуществление экспертной оценки, верификации технических требований (технических заданий) стадии &laquo;Инициация&raquo;, определение целей будущего проекта, требований к результатам предпроектных проработок. Осуществление экспертной оценки, верификации, выдачи рекомендаций для корректировки технических требований (технических заданий). Осуществление экспертной оценки, верификации, выдачи рекомендаций для корректировки заданий на проектирование (технических заданий на выполнение комплекса работ на условиях &laquo;под ключ&raquo;).</p>",Красноярский край,от 0,Полный рабочий день,"Красноярский край, Город Норильск, Ветеранов улица, 19",Главный геодезист (Управление координации реализации проектов капитального строительства)
6,Полная занятость,Agricultural,"Внимательность, пунктуальность, ответственность, без вредных привычек.","Ведение процесса обработки тушек птицы, обслуживание транспортера для подачи птицы на убой. Ведение процесса формовки и упаковки тушек птицы в пакеты и ящики",Костромская область,от 40000,Полный рабочий день,Костромская область,Обработчик птицы
7,Полная занятость,Resources,"<p>Образование не ниже среднего общего</p> <p>Обучение по профессии ""Оператор обезвоживающей и обессоливающей установки 4 разряда""</p>","<p>1. Анализ хода технологического процесса обезвоживания, обессоливания и стабилизации нефти.</p> <p>2. Корректировка параметров технологического процесса обезвоживания, обессоливания и стабилизации нефти.</p> <p>3. Контроль обеспечения безопасной работы технологического оборудования установок обезвоживания, обессоливания и стабилизации нефти всех категорий, установок предварительного сброса воды.</p> <p>4. Контроль и регулировка параметров технологического процесса обезвоживания, обессоливания, стабилизации нефти и предварительного сброса воды.</p> <p>5. Приемка технологического оборудования установок обезвоживания, обессоливания и стабилизации нефти всех категорий, установок предварительного сброса воды из ремонта.</p>",Пермский край,от 38000,Сменный график,"Пермский край, Куединский район, Малая Тапья деревня",Оператор обезвоживающей и обессоливающей установки 4 разряда Цеха добычи нефти и газа № 3 (Гожанский нефтегазопромысел)
8,Полная занятость,Sales,"<p>- Образование не ниже среднего;</p> <p>- Желание зарабатывать и развиваться в сфере продаж;</p> <p>- Опыт работы на аналогичных должностях приветствуется, но не обязателен (предусмотрено внутреннее обучение и наставничество)</p>","<p>- Продавать электронику и цифровую технику;</p> <p>- Предлагать и подключать услуги компании: тарифные планы, кредитные продукты.</p> <p>- Консультировать покупателей;</p> <p>- Работать с кассой, 1С;&nbsp;</p>",Пермский край,от 38000,Полный рабочий день,"Пермский край, Город Пермь, Советская улица, 50",Продавец-консультант (Пермь)
9,Полная занятость,ElectricpowerIndustry,"<ul> <li>Образование высшее или средне-специальное (техническое)</li> <li>Опыт работы не менее 3 лет</li> <li>Группа по электробезопасности не ниже 4</li> <li>Знание ПУЭ, правила ОТиПБ, ПТЭЭП</li> <li>Уверенный пользователь ПК</li> <li>Умение анализировать и систематизировать данные</li> </ul>","<p>Контролирует выполнение и организует работу по подготовке подчиненному персоналу заданий на производство работ по:</p> <ul> <li>монтажу, демонтажу индивидуальных, общих квартирных, комнатных приборов учёта электрической энергии;</li> <li>осуществлению ввода в эксплуатацию ИПУ;</li> <li>проведению проверок состояния установленных и введенных в эксплуатацию ИПУ, факта их наличия или отсутствия;</li> <li>снятию показаний ИПУ и общедомовых приборов учета электрической энергии многоквартирных домов;</li> <li>проведению работ по выявлению несанкционированного подключения внутриквартирного оборудования потребителя к внутридомовым инженерным сетям;</li> <li>приостановка, ограничению предоставления электрической энергии потребителям;</li> <li>возобновлению предоставления электрической энергии потребителям;</li> <li>по информированию потребителей электроэнергии о необходимости ежемесячной передачи показаний ИПУ;</li> <li>по информированию потребителей электрической энергии о необходимости погашения задолженности за потребленную электроэнергию, размере штрафных санкций за самовольное подключение электроэнергии путем расклейки стикеров.</li> <li>Осуществляет допуск подчиненного персонала к работе.</li> <li>Формирует отчёты о выполненной работе.</li> <li>Деловая переписка</li> </ul>",Липецкая область,от 48000,Полный рабочий день,"Липецкая область, Город Липецк, Победы проспект, дом: 87;корпус: А;",мастер
