;id;title;city;age;gender;area;desired_wage;work_experience;education_level;languages;skills;about
0;006ce5ad000161a1780039ed1f367247684b64;Водитель-курьер Подработка;Барнаул;38;Мужчина;['Курьер', 'Водитель'];50000;16.1;Высшее образование;{'Русский': 'Родной', 'Английский': 'A1', 'Немецкий': 'A1'};['Обучаемость', 'Русский — Родной', 'Английский — A1 — Начальный', 'Немецкий — A1 — Начальный'];Активный,Ответственный, целеустремлённый, надёжный человек! С хорошей быстрой обучаймостью! Справляюсь с большим обьёмом информации!!! С Высокой Работаспособнастью!!! Имею опыт в продажах! НЕ ИМЕЮ ВРЕДНЫХ ПРИВЫЧЕК!!! Есть Сан.книжка!
0;0092fa0e000793746d0039ed1f30346c674933;Технолог общественного питания;Жезказган;45;Женщина;Инженер по качеству;0;21.4;Высшее образование;{'Russian': 'Native'};['Общественное питание', 'Производственный контроль', 'Управление производством', 'Разработка инструкций', 'Разработка нового продукта', 'HACCP', 'Расчет себестоимости', 'Ведение документации', 'Санитарный контроль', 'Русский — Родной'];"Имею  организаторские способности.                                       Знаю русскую, европейскую, азиатскую (японскую) кухню, основы правильного питания,  , как опытный пользователь Microsoft Excel,  Microsoft Word, Шеф-эксперт(общепит)  почта, сканер и др.
Имею сертификаты по прохождению курсов:
 -1с 8.3 (бухгалтер)
 -Внедрение и разработка принципов ХАСCP"
